subid,trial_type,trial,total_fixation,order,trial_num,lab,stimulus,looking_time,MovieStart,MovieEnd,TrialTime,total_trial_time,trial_error,trial_error_type,notes
MB12_S01,ADS,ADS1,0.9,1,4,irl-concordia,NA,NA,01:12.539,01:30.594,00:18.055,18.055,error,trial should have ended earlier,
MB12_S01,ADS,ADS2,3.91,1,6,irl-concordia,NA,NA,02:11.649,02:29.706,00:18.057,18.057,error,trial should have ended earlier,
MB12_S01,ADS,ADS3,1.43,1,7,irl-concordia,NA,NA,02:35.182,02:53.214,00:18.032,18.032,error,trial should have ended earlier,
MB12_S01,ADS,ADS4,1.45,1,10,irl-concordia,NA,NA,03:58.000,04:16.061,00:18.061,18.061,error,experimenter began trial too early,
MB12_S01,ADS,ADS5,7.01,1,11,irl-concordia,NA,NA,04:33.825,04:51.867,00:18.042,18.042,error,trial should have ended earlier,
MB12_S01,ADS,ADS6,0,1,13,irl-concordia,NA,NA,05:31.423,05:49.475,00:18.052,18.052,error,trial should have ended earlier,
MB12_S01,ADS,ADS7,0,1,16,irl-concordia,NA,NA,07:14.271,07:32.337,00:18.066,18.066,error,trial should have ended earlier,
MB12_S01,ADS,ADS8,0,1,17,irl-concordia,NA,NA,07:33.581,07:51.641,00:18.060,18.060,error,experimenter began trial too early,
MB12_S01,IDS,IDS1,9.5,1,3,irl-concordia,NA,NA,00:49.246,01:07.276,00:18.030,18.030,noerror,NA,
MB12_S01,IDS,IDS2,1.3,1,5,irl-concordia,NA,NA,01:33.854,01:51.908,00:18.054,18.054,error,trial should have ended earlier,
MB12_S01,IDS,IDS3,5.83,1,8,irl-concordia,NA,NA,02:55.024,03:13.076,00:18.052,18.052,error,trial should have ended earlier,
MB12_S01,IDS,IDS4,0.6,1,9,irl-concordia,NA,NA,03:17.373,03:35.433,00:18.060,18.060,error,trial should have ended earlier,
MB12_S01,IDS,IDS5,0,1,12,irl-concordia,NA,NA,04:53.492,05:11.528,00:18.036,18.036,error,trial should have ended earlier,
MB12_S01,IDS,IDS6,0,1,14,irl-concordia,NA,NA,06:17.112,06:35.176,00:18.064,18.064,error,experimenter began trial too early,
MB12_S01,IDS,IDS7,0,1,15,irl-concordia,NA,NA,06:41.538,06:43.680,00:02.142,2.142,error,experimenter ended trial too early,
MB12_S01,IDS,IDS8,0.57,1,18,irl-concordia,NA,NA,07:57.063,08:11.951,00:14.888,14.888,error,experimenter began trial too early,
MB12_S01,training,train1,5.67,1,1,irl-concordia,NA,NA,00:05.010,00:23.067,00:18.057,18.057,noerror,NA,
MB12_S01,training,train2,1.02,1,2,irl-concordia,NA,NA,00:27.178,00:45.245,00:18.067,18.067,error,trial should have ended earlier,
MB12_S02,ADS,ADS1,4.1,3,7,irl-concordia,NA,NA,01:42.724,01:50.659,00:07.935,7.935,noerror,NA,
MB12_S02,ADS,ADS2,0,3,11,irl-concordia,NA,NA,02:58.222,03:10.946,00:12.724,12.724,noerror,NA,
MB12_S02,ADS,ADS3,5.88,3,9,irl-concordia,NA,NA,02:14.652,02:30.578,00:15.926,15.926,noerror,NA,
MB12_S02,ADS,ADS4,5.46,3,14,irl-concordia,NA,NA,03:47.332,03:59.345,00:12.013,12.013,noerror,NA,
MB12_S02,ADS,ADS5,2.75,3,4,irl-concordia,NA,NA,00:54.622,00:57.403,00:02.781,2.781,error,experimenter ended trial too early,
MB12_S02,ADS,ADS6,1.07,3,16,irl-concordia,NA,NA,04:16.831,04:26.257,00:09.426,9.426,noerror,NA,
MB12_S02,ADS,ADS7,3.17,3,5,irl-concordia,NA,NA,01:03.954,01:12.939,00:08.985,8.985,error,trial should have ended earlier,
MB12_S02,ADS,ADS8,2.3,3,18,irl-concordia,NA,NA,04:52.218,05:00.528,00:08.310,8.310,noerror,NA,
MB12_S02,IDS,IDS1,7.06,3,8,irl-concordia,NA,NA,01:54.330,02:10.155,00:15.825,15.815,noerror,NA,
MB12_S02,IDS,IDS2,14.38,3,12,irl-concordia,NA,NA,03:14.863,03:32.918,00:18.055,18.055,noerror,NA,
MB12_S02,IDS,IDS3,10.91,3,10,irl-concordia,NA,NA,02:35.992,02:53.770,00:17.778,17.778,noerror,NA,
MB12_S02,IDS,IDS4,1,3,13,irl-concordia,NA,NA,03:37.663,03:42.881,00:05.218,5.218,noerror,NA,
MB12_S02,IDS,IDS5,11.66,3,3,irl-concordia,NA,NA,00:35.748,00:53.808,00:18.060,18.060,noerror,NA,
MB12_S02,IDS,IDS6,1.02,3,15,irl-concordia,NA,NA,04:04.214,04:11.801,00:07.587,7.587,error,experimenter began trial too early,
MB12_S02,IDS,IDS7,10.43,3,6,irl-concordia,NA,NA,01:19.848,01:37.901,00:18.053,18.053,noerror,NA,
MB12_S02,IDS,IDS8,1.82,3,17,irl-concordia,NA,NA,04:40.738,04:47.457,00:06.719,6.719,error,experimenter began trial too early,
MB12_S02,training,train1,5.03,3,1,irl-concordia,NA,NA,00:08.433,00:17.526,00:09.093,9.093,noerror,NA,
MB12_S02,training,train2,2.75,3,2,irl-concordia,NA,NA,00:23.143,00:30.706,00:07.563,7.563,noerror,NA,
MB12_S03,ADS,ADS1,1.83,1,4,irl-concordia,NA,NA,00:45.156,00:55.632,00:10.476,10.476,error,experimenter began trial too early; trial should have ended earlier,
MB12_S03,ADS,ADS2,0,1,6,irl-concordia,NA,NA,NA,NA,NA,NA,error,"fussy, trial not watched",
MB12_S03,ADS,ADS3,0,1,7,irl-concordia,NA,NA,NA,NA,NA,NA,error,"fussy, trial not watched",
MB12_S03,ADS,ADS4,0,1,10,irl-concordia,NA,NA,NA,NA,NA,NA,error,"fussy, trial not watched",
MB12_S03,ADS,ADS5,0,1,11,irl-concordia,NA,NA,NA,NA,NA,NA,error,"fussy, trial not watched",
MB12_S03,ADS,ADS6,0,1,13,irl-concordia,NA,NA,NA,NA,NA,NA,error,"fussy, trial not watched",
MB12_S03,ADS,ADS7,0,1,16,irl-concordia,NA,NA,NA,NA,NA,NA,error,"fussy, trial not watched",
MB12_S03,ADS,ADS8,0,1,17,irl-concordia,NA,NA,NA,NA,NA,NA,error,"fussy, trial not watched",
MB12_S03,IDS,IDS1,0,1,3,irl-concordia,NA,NA,00:31.650,00:39.881,00:08.231,8.231,noerror,NA,
MB12_S03,IDS,IDS2,0,1,5,irl-concordia,NA,NA,NA,NA,NA,NA,error,"fussy, trial not watched",
MB12_S03,IDS,IDS3,0,1,8,irl-concordia,NA,NA,NA,NA,NA,NA,error,"fussy, trial not watched",
MB12_S03,IDS,IDS4,0,1,9,irl-concordia,NA,NA,NA,NA,NA,NA,error,"fussy, trial not watched",
MB12_S03,IDS,IDS5,0,1,12,irl-concordia,NA,NA,NA,NA,NA,NA,error,"fussy, trial not watched",
MB12_S03,IDS,IDS6,0,1,14,irl-concordia,NA,NA,NA,NA,NA,NA,error,"fussy, trial not watched",
MB12_S03,IDS,IDS7,0,1,15,irl-concordia,NA,NA,NA,NA,NA,NA,error,"fussy, trial not watched",
MB12_S03,IDS,IDS8,0,1,18,irl-concordia,NA,NA,NA,NA,NA,NA,error,"fussy, trial not watched",
MB12_S03,training,train1,2.19,1,1,irl-concordia,NA,NA,00:03.250,00:09.905,00:06.655,6.655,noerror,NA,
MB12_S03,training,train2,0,1,2,irl-concordia,NA,NA,00:19.020,00:27.425,00:08.405,8.405,error,experimenter began trial too early,
MB12_S04,ADS,ADS1,1.95,1,4,irl-concordia,NA,NA,00:48.675,00:54.766,00:06.091,6.091,noerror,NA,
MB12_S04,ADS,ADS2,1.46,1,6,irl-concordia,NA,NA,01:09.293,01:14.445,00:05.152,5.152,error,experimenter ended trial too early,
MB12_S04,ADS,ADS3,1,1,7,irl-concordia,NA,NA,01:19.328,01:24.773,00:05.445,5.445,noerror,NA,
MB12_S04,ADS,ADS4,2.4,1,10,irl-concordia,NA,NA,02:08.292,02:14.124,00:05.832,5.832,noerror,NA,
MB12_S04,ADS,ADS5,2.81,1,11,irl-concordia,NA,NA,02:17.947,02:25.172,00:07.225,7.225,noerror,NA,
MB12_S04,ADS,ADS6,0,1,13,irl-concordia,NA,NA,02:47.061,02:53.972,00:06.911,6.911,noerror,NA,
MB12_S04,ADS,ADS7,3.84,1,16,irl-concordia,NA,NA,03:33.798,03:43.172,00:09.374,9.374,noerror,NA,
MB12_S04,ADS,ADS8,7.73,1,17,irl-concordia,NA,NA,03:48.222,04:01.395,00:13.173,13.173,noerror,NA,
MB12_S04,IDS,IDS1,3.63,1,3,irl-concordia,NA,NA,00:32.793,00:40.134,00:07.341,7.341,noerror,NA,
MB12_S04,IDS,IDS2,1.4,1,5,irl-concordia,NA,NA,00:58.913,01:04.349,00:05.436,5.436,noerror,NA,
MB12_S04,IDS,IDS3,4,1,8,irl-concordia,NA,NA,01:29.097,01:41.661,00:12.564,12.564,noerror,NA,
MB12_S04,IDS,IDS4,6.62,1,9,irl-concordia,NA,NA,01:45.900,02:03.956,00:18.056,18.056,noerror,NA,
MB12_S04,IDS,IDS5,1.73,1,12,irl-concordia,NA,NA,02:33.315,02:40.324,00:07.009,7.009,noerror,NA,
MB12_S04,IDS,IDS6,0,1,14,irl-concordia,NA,NA,03:00.964,03:10.092,00:09.128,9.128,error,trial should have ended earlier,
MB12_S04,IDS,IDS7,1.18,1,15,irl-concordia,NA,NA,03:24.033,03:29.499,00:05.466,5.466,noerror,NA,
MB12_S04,IDS,IDS8,1.24,1,18,irl-concordia,NA,NA,04:06.093,04:11.643,00:05.550,5.550,noerror,NA,
MB12_S04,training,train1,6.65,1,1,irl-concordia,NA,NA,00:06.431,00:17.174,00:10.743,10.743,noerror,NA,
MB12_S04,training,train2,2.81,1,2,irl-concordia,NA,NA,00:21.241,00:27.974,00:06.733,6.733,noerror,NA,
MB12_S05,ADS,ADS1,7.66,4,8,irl-concordia,NA,NA,02:48.465,02:59.514,00:11.049,11.049,noerror,NA,
MB12_S05,ADS,ADS2,11.87,4,12,irl-concordia,NA,NA,04:22.157,04:40.226,00:18.069,18.069,noerror,NA,
MB12_S05,ADS,ADS3,7.38,4,10,irl-concordia,NA,NA,03:40.992,03:57.937,00:16.945,16.945,error,trial should have ended earlier,
MB12_S05,ADS,ADS4,0,4,13,irl-concordia,NA,NA,04:49.126,04:52.968,00:03.842,3.842,error,experimenter began trial too early,
