,Time to First Fixation_ADS1_ADS1_N,Time to First Fixation_ADS1_ADS1_Mean,Time to First Fixation_ADS1_ADS1_Sum,Time to First Fixation_ADS1_ADS1_N,Time to First Fixation_ADS1_ADS1_Mean,Time to First Fixation_ADS1_ADS1_Sum,Time to First Fixation_ADS1_ADS1_N,Time to First Fixation_ADS1_ADS1_Mean,Time to First Fixation_ADS1_ADS1_Sum,Time to First Fixation_ADS1_ADS1_N,Time to First Fixation_ADS1_ADS1_Mean,Time to First Fixation_ADS1_ADS1_Sum,Time to First Fixation_ADS2_ADS2_N,Time to First Fixation_ADS2_ADS2_Mean,Time to First Fixation_ADS2_ADS2_Sum,Time to First Fixation_ADS2_ADS2_N,Time to First Fixation_ADS2_ADS2_Mean,Time to First Fixation_ADS2_ADS2_Sum,Time to First Fixation_ADS2_ADS2_N,Time to First Fixation_ADS2_ADS2_Mean,Time to First Fixation_ADS2_ADS2_Sum,Time to First Fixation_ADS2_ADS2_N,Time to First Fixation_ADS2_ADS2_Mean,Time to First Fixation_ADS2_ADS2_Sum,Time to First Fixation_ADS3_ADS3_N,Time to First Fixation_ADS3_ADS3_Mean,Time to First Fixation_ADS3_ADS3_Sum,Time to First Fixation_ADS3_ADS3_N,Time to First Fixation_ADS3_ADS3_Mean,Time to First Fixation_ADS3_ADS3_Sum,Time to First Fixation_ADS3_ADS3_N,Time to First Fixation_ADS3_ADS3_Mean,Time to First Fixation_ADS3_ADS3_Sum,Time to First Fixation_ADS3_ADS3_N,Time to First Fixation_ADS3_ADS3_Mean,Time to First Fixation_ADS3_ADS3_Sum,Time to First Fixation_ADS4_ADS4_N,Time to First Fixation_ADS4_ADS4_Mean,Time to First Fixation_ADS4_ADS4_Sum,Time to First Fixation_ADS4_ADS4_N,Time to First Fixation_ADS4_ADS4_Mean,Time to First Fixation_ADS4_ADS4_Sum,Time to First Fixation_ADS4_ADS4_N,Time to First Fixation_ADS4_ADS4_Mean,Time to First Fixation_ADS4_ADS4_Sum,Time to First Fixation_ADS4_ADS4_N,Time to First Fixation_ADS4_ADS4_Mean,Time to First Fixation_ADS4_ADS4_Sum,Time to First Fixation_ADS5_ADS5_N,Time to First Fixation_ADS5_ADS5_Mean,Time to First Fixation_ADS5_ADS5_Sum,Time to First Fixation_ADS5_ADS5_N,Time to First Fixation_ADS5_ADS5_Mean,Time to First Fixation_ADS5_ADS5_Sum,Time to First Fixation_ADS5_ADS5_N,Time to First Fixation_ADS5_ADS5_Mean,Time to First Fixation_ADS5_ADS5_Sum,Time to First Fixation_ADS5_ADS5_N,Time to First Fixation_ADS5_ADS5_Mean,Time to First Fixation_ADS5_ADS5_Sum,Time to First Fixation_ADS6_ADS6_N,Time to First Fixation_ADS6_ADS6_Mean,Time to First Fixation_ADS6_ADS6_Sum,Time to First Fixation_ADS6_ADS6_N,Time to First Fixation_ADS6_ADS6_Mean,Time to First Fixation_ADS6_ADS6_Sum,Time to First Fixation_ADS6_ADS6_N,Time to First Fixation_ADS6_ADS6_Mean,Time to First Fixation_ADS6_ADS6_Sum,Time to First Fixation_ADS6_ADS6_N,Time to First Fixation_ADS6_ADS6_Mean,Time to First Fixation_ADS6_ADS6_Sum,Time to First Fixation_ADS7_ADS7_N,Time to First Fixation_ADS7_ADS7_Mean,Time to First Fixation_ADS7_ADS7_Sum,Time to First Fixation_ADS7_ADS7_N,Time to First Fixation_ADS7_ADS7_Mean,Time to First Fixation_ADS7_ADS7_Sum,Time to First Fixation_ADS7_ADS7_N,Time to First Fixation_ADS7_ADS7_Mean,Time to First Fixation_ADS7_ADS7_Sum,Time to First Fixation_ADS7_ADS7_N,Time to First Fixation_ADS7_ADS7_Mean,Time to First Fixation_ADS7_ADS7_Sum,Time to First Fixation_ADS8_ADS8_N,Time to First Fixation_ADS8_ADS8_Mean,Time to First Fixation_ADS8_ADS8_Sum,Time to First Fixation_ADS8_ADS8_N,Time to First Fixation_ADS8_ADS8_Mean,Time to First Fixation_ADS8_ADS8_Sum,Time to First Fixation_ADS8_ADS8_N,Time to First Fixation_ADS8_ADS8_Mean,Time to First Fixation_ADS8_ADS8_Sum,Time to First Fixation_ADS8_ADS8_N,Time to First Fixation_ADS8_ADS8_Mean,Time to First Fixation_ADS8_ADS8_Sum,Time to First Fixation_IDS1_IDS1_N,Time to First Fixation_IDS1_IDS1_Mean,Time to First Fixation_IDS1_IDS1_Sum,Time to First Fixation_IDS1_IDS1_N,Time to First Fixation_IDS1_IDS1_Mean,Time to First Fixation_IDS1_IDS1_Sum,Time to First Fixation_IDS1_IDS1_N,Time to First Fixation_IDS1_IDS1_Mean,Time to First Fixation_IDS1_IDS1_Sum,Time to First Fixation_IDS1_IDS1_N,Time to First Fixation_IDS1_IDS1_Mean,Time to First Fixation_IDS1_IDS1_Sum,Time to First Fixation_IDS2_IDS2_N,Time to First Fixation_IDS2_IDS2_Mean,Time to First Fixation_IDS2_IDS2_Sum,Time to First Fixation_IDS2_IDS2_N,Time to First Fixation_IDS2_IDS2_Mean,Time to First Fixation_IDS2_IDS2_Sum,Time to First Fixation_IDS2_IDS2_N,Time to First Fixation_IDS2_IDS2_Mean,Time to First Fixation_IDS2_IDS2_Sum,Time to First Fixation_IDS2_IDS2_N,Time to First Fixation_IDS2_IDS2_Mean,Time to First Fixation_IDS2_IDS2_Sum,Time to First Fixation_IDS3_IDS3_N,Time to First Fixation_IDS3_IDS3_Mean,Time to First Fixation_IDS3_IDS3_Sum,Time to First Fixation_IDS3_IDS3_N,Time to First Fixation_IDS3_IDS3_Mean,Time to First Fixation_IDS3_IDS3_Sum,Time to First Fixation_IDS3_IDS3_N,Time to First Fixation_IDS3_IDS3_Mean,Time to First Fixation_IDS3_IDS3_Sum,Time to First Fixation_IDS3_IDS3_N,Time to First Fixation_IDS3_IDS3_Mean,Time to First Fixation_IDS3_IDS3_Sum,Time to First Fixation_IDS4_IDS4_N,Time to First Fixation_IDS4_IDS4_Mean,Time to First Fixation_IDS4_IDS4_Sum,Time to First Fixation_IDS4_IDS4_N,Time to First Fixation_IDS4_IDS4_Mean,Time to First Fixation_IDS4_IDS4_Sum,Time to First Fixation_IDS4_IDS4_N,Time to First Fixation_IDS4_IDS4_Mean,Time to First Fixation_IDS4_IDS4_Sum,Time to First Fixation_IDS4_IDS4_N,Time to First Fixation_IDS4_IDS4_Mean,Time to First Fixation_IDS4_IDS4_Sum,Time to First Fixation_IDS5_IDS5_N,Time to First Fixation_IDS5_IDS5_Mean,Time to First Fixation_IDS5_IDS5_Sum,Time to First Fixation_IDS5_IDS5_N,Time to First Fixation_IDS5_IDS5_Mean,Time to First Fixation_IDS5_IDS5_Sum,Time to First Fixation_IDS5_IDS5_N,Time to First Fixation_IDS5_IDS5_Mean,Time to First Fixation_IDS5_IDS5_Sum,Time to First Fixation_IDS5_IDS5_N,Time to First Fixation_IDS5_IDS5_Mean,Time to First Fixation_IDS5_IDS5_Sum,Time to First Fixation_IDS6_IDS6_N,Time to First Fixation_IDS6_IDS6_Mean,Time to First Fixation_IDS6_IDS6_Sum,Time to First Fixation_IDS6_IDS6_N,Time to First Fixation_IDS6_IDS6_Mean,Time to First Fixation_IDS6_IDS6_Sum,Time to First Fixation_IDS6_IDS6_N,Time to First Fixation_IDS6_IDS6_Mean,Time to First Fixation_IDS6_IDS6_Sum,Time to First Fixation_IDS6_IDS6_N,Time to First Fixation_IDS6_IDS6_Mean,Time to First Fixation_IDS6_IDS6_Sum,Time to First Fixation_IDS7_IDS7_N,Time to First Fixation_IDS7_IDS7_Mean,Time to First Fixation_IDS7_IDS7_Sum,Time to First Fixation_IDS7_IDS7_N,Time to First Fixation_IDS7_IDS7_Mean,Time to First Fixation_IDS7_IDS7_Sum,Time to First Fixation_IDS7_IDS7_N,Time to First Fixation_IDS7_IDS7_Mean,Time to First Fixation_IDS7_IDS7_Sum,Time to First Fixation_IDS7_IDS7_N,Time to First Fixation_IDS7_IDS7_Mean,Time to First Fixation_IDS7_IDS7_Sum,Time to First Fixation_IDS8_IDS8_N,Time to First Fixation_IDS8_IDS8_Mean,Time to First Fixation_IDS8_IDS8_Sum,Time to First Fixation_IDS8_IDS8_N,Time to First Fixation_IDS8_IDS8_Mean,Time to First Fixation_IDS8_IDS8_Sum,Time to First Fixation_IDS8_IDS8_N,Time to First Fixation_IDS8_IDS8_Mean,Time to First Fixation_IDS8_IDS8_Sum,Time to First Fixation_IDS8_IDS8_N,Time to First Fixation_IDS8_IDS8_Mean,Time to First Fixation_IDS8_IDS8_Sum,Time to First Fixation_train1_train1_N,Time to First Fixation_train1_train1_Mean,Time to First Fixation_train1_train1_Sum,Time to First Fixation_train1_train1_N,Time to First Fixation_train1_train1_Mean,Time to First Fixation_train1_train1_Sum,Time to First Fixation_train1_train1_N,Time to First Fixation_train1_train1_Mean,Time to First Fixation_train1_train1_Sum,Time to First Fixation_train1_train1_N,Time to First Fixation_train1_train1_Mean,Time to First Fixation_train1_train1_Sum,Time to First Fixation_train2_train2_N,Time to First Fixation_train2_train2_Mean,Time to First Fixation_train2_train2_Sum,Time to First Fixation_train2_train2_N,Time to First Fixation_train2_train2_Mean,Time to First Fixation_train2_train2_Sum,Time to First Fixation_train2_train2_N,Time to First Fixation_train2_train2_Mean,Time to First Fixation_train2_train2_Sum,Time to First Fixation_train2_train2_N,Time to First Fixation_train2_train2_Mean,Time to First Fixation_train2_train2_Sum
MB12_S01_44983,1,0.19,0.19,-,-,-,-,-,-,-,-,-,1,2.32,2.32,-,-,-,-,-,-,-,-,-,1,0.69,0.69,-,-,-,-,-,-,-,-,-,1,8.37,8.37,-,-,-,-,-,-,-,-,-,1,0.29,0.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.98,0.98,-,-,-,-,-,-,-,-,-,1,0.65,0.65,-,-,-,-,-,-,-,-,-,1,1.61,1.61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,12.01,12.01,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,4.35,4.35,-,-,-,-,-,-,-,-,-
MB12_S02_44924,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.02,0.02,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,2.28,2.28,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.03,0.03,-,-,-,-,-,-,-,-,-,1,0.24,0.24,-,-,-,-,-,-,-,-,-,1,0.09,0.09,-,-,-,-,-,-,-,-,-,1,0.31,0.31,-,-,-,-,-,-,-,-,-,1,0.33,0.33,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,3.02,3.02,-,-,-,-,-,-,-,-,-,1,0.6,0.6,-,-,-,-,-,-,-,-,-,1,4.9,4.9,-,-,-,-,-,-,-,-,-,1,0.02,0.02,-,-,-,-,-,-,-,-,-,1,0.36,0.36,-,-,-
MB12_S03_45392,1,1.7,1.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MB12_S04_45264,1,0.19,0.19,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.03,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,1.67,1.67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.16,0.16,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.04,0.04,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-
MB12_S05_44706,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,1.23,1.23,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,1.79,1.79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5.18,5.18,-,-,-,-,-,-,-,-,-,1,0.43,0.43,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.4,0.4
MB12_S06_44430,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,1.7,1.7,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.47,0.47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.18,0.18,-,-,-,-,-,-,-,-,-,1,0.09,0.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-
MB12_S07_45981,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.87,0.87,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.93,0.93,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-
MB12_S08_45291,-,-,-,-,-,-,1,2.05,2.05,-,-,-,-,-,-,-,-,-,1,3.18,3.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.29,0.29,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.12,0.12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-
MB12_S09_45238,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.01,0.01,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.18,0.18,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.23,0.23,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-
MB12_S10_44016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,3.84,3.84,-,-,-,-,-,-,-,-,-,1,1.72,1.72,-,-,-,-,-,-,-,-,-,1,0.01,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,3.34,3.34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1.33,1.33,-,-,-,-,-,-,-,-,-,1,0.79,0.79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.48,0.48,-,-,-,-,-,-,-,-,-,1,0,0
MB12_S11_44835,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.01,0.01,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.15,0.15,-,-,-,-,-,-,-,-,-,1,0.36,0.36,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.3,0.3,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0
