"","subid","trial_type","trial","looking_time","order","lab","trial_num"
"1","MB12_S01","ADS","ADS1",0.9,1,"irl-concordia",4
"2","MB12_S01","ADS","ADS2",3.91,1,"irl-concordia",6
"3","MB12_S01","ADS","ADS3",1.43,1,"irl-concordia",7
"4","MB12_S01","ADS","ADS4",1.45,1,"irl-concordia",10
"5","MB12_S01","ADS","ADS5",7.01,1,"irl-concordia",11
"6","MB12_S01","ADS","ADS6",0,1,"irl-concordia",13
"7","MB12_S01","ADS","ADS7",0,1,"irl-concordia",16
"8","MB12_S01","ADS","ADS8",0,1,"irl-concordia",17
"9","MB12_S01","IDS","IDS1",9.5,1,"irl-concordia",3
"10","MB12_S01","IDS","IDS2",1.3,1,"irl-concordia",5
"11","MB12_S01","IDS","IDS3",5.83,1,"irl-concordia",8
"12","MB12_S01","IDS","IDS4",0.6,1,"irl-concordia",9
"13","MB12_S01","IDS","IDS5",0,1,"irl-concordia",12
"14","MB12_S01","IDS","IDS6",0,1,"irl-concordia",14
"15","MB12_S01","IDS","IDS7",0,1,"irl-concordia",15
"16","MB12_S01","IDS","IDS8",0.57,1,"irl-concordia",18
"17","MB12_S01","training","train1",5.67,1,"irl-concordia",1
"18","MB12_S01","training","train2",1.02,1,"irl-concordia",2
"19","MB12_S02","ADS","ADS1",4.1,3,"irl-concordia",7
"20","MB12_S02","ADS","ADS2",0,3,"irl-concordia",11
"21","MB12_S02","ADS","ADS3",5.88,3,"irl-concordia",9
"22","MB12_S02","ADS","ADS4",5.46,3,"irl-concordia",14
"23","MB12_S02","ADS","ADS5",2.75,3,"irl-concordia",4
"24","MB12_S02","ADS","ADS6",1.07,3,"irl-concordia",16
"25","MB12_S02","ADS","ADS7",3.17,3,"irl-concordia",5
"26","MB12_S02","ADS","ADS8",2.3,3,"irl-concordia",18
"27","MB12_S02","IDS","IDS1",7.06,3,"irl-concordia",8
"28","MB12_S02","IDS","IDS2",14.38,3,"irl-concordia",12
"29","MB12_S02","IDS","IDS3",10.91,3,"irl-concordia",10
"30","MB12_S02","IDS","IDS4",1,3,"irl-concordia",13
"31","MB12_S02","IDS","IDS5",11.66,3,"irl-concordia",3
"32","MB12_S02","IDS","IDS6",1.02,3,"irl-concordia",15
"33","MB12_S02","IDS","IDS7",10.43,3,"irl-concordia",6
"34","MB12_S02","IDS","IDS8",1.82,3,"irl-concordia",17
"35","MB12_S02","training","train1",5.03,3,"irl-concordia",1
"36","MB12_S02","training","train2",2.75,3,"irl-concordia",2
"37","MB12_S03","ADS","ADS1",1.83,1,"irl-concordia",4
"38","MB12_S03","ADS","ADS2",0,1,"irl-concordia",6
"39","MB12_S03","ADS","ADS3",0,1,"irl-concordia",7
"40","MB12_S03","ADS","ADS4",0,1,"irl-concordia",10
"41","MB12_S03","ADS","ADS5",0,1,"irl-concordia",11
"42","MB12_S03","ADS","ADS6",0,1,"irl-concordia",13
"43","MB12_S03","ADS","ADS7",0,1,"irl-concordia",16
"44","MB12_S03","ADS","ADS8",0,1,"irl-concordia",17
"45","MB12_S03","IDS","IDS1",0,1,"irl-concordia",3
"46","MB12_S03","IDS","IDS2",0,1,"irl-concordia",5
"47","MB12_S03","IDS","IDS3",0,1,"irl-concordia",8
"48","MB12_S03","IDS","IDS4",0,1,"irl-concordia",9
"49","MB12_S03","IDS","IDS5",0,1,"irl-concordia",12
"50","MB12_S03","IDS","IDS6",0,1,"irl-concordia",14
"51","MB12_S03","IDS","IDS7",0,1,"irl-concordia",15
"52","MB12_S03","IDS","IDS8",0,1,"irl-concordia",18
"53","MB12_S03","training","train1",2.19,1,"irl-concordia",1
